"","Admin2","FIPS","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","lethality","Population"
"1","Alachua",12001,"Florida","US","2020-09-07 04:28:30",29.67866525,-82.35928158,5582,33,0,5549,"Alachua, Florida, US",2074.7612835123,0.00591185954854891,"269,043"
"2","Baker",12003,"Florida","US","2020-09-07 04:28:30",30.33060121,-82.28467476,1259,6,0,1253,"Baker, Florida, US",4310.16775077028,0.00476568705321684,"29,210"
"3","Bay",12005,"Florida","US","2020-09-07 04:28:30",30.26548745,-85.62122584,5510,86,0,5424,"Bay, Florida, US",3153.88798259924,0.0156079854809437,"174,705"
"4","Bradford",12007,"Florida","US","2020-09-07 04:28:30",29.95079741,-82.16611613,850,5,0,845,"Bradford, Florida, US",3014.07751498174,0.00588235294117647,"28,201"
"5","Brevard",12009,"Florida","US","2020-09-07 04:28:30",28.29409504,-80.73091022,7633,235,0,7398,"Brevard, Florida, US",1268.06237145772,0.0307873706275383,"601,942"
"6","Broward",12011,"Florida","US","2020-09-07 04:28:30",26.15184651,-80.48725556,73293,1215,0,72078,"Broward, Florida, US",3753.26842068069,0.0165772993328149,"1,952,778"
"7","Calhoun",12013,"Florida","US","2020-09-07 04:28:30",30.40666734,-85.19394153,587,10,0,577,"Calhoun, Florida, US",4161.6448068061,0.0170357751277683,"14,105"
"8","Charlotte",12015,"Florida","US","2020-09-07 04:28:30",26.90131002,-81.92949121,2793,117,0,2676,"Charlotte, Florida, US",1478.48181673813,0.041890440386681,"188,910"
"9","Citrus",12017,"Florida","US","2020-09-07 04:28:30",28.84804315,-82.47614748,2314,64,0,2250,"Citrus, Florida, US",1546.2023159625,0.0276577355229041,"149,657"
"10","Clay",12019,"Florida","US","2020-09-07 04:28:30",29.98319144,-81.85609986,4287,79,0,4208,"Clay, Florida, US",1955.28433035959,0.0184278049918358,"219,252"
"11","Collier",12021,"Florida","US","2020-09-07 04:28:30",26.11091986,-81.34687065,11994,184,0,11810,"Collier, Florida, US",3116.11786896405,0.015341003835251,"384,902"
"12","Columbia",12023,"Florida","US","2020-09-07 04:28:30",30.22509788,-82.62160164,3438,39,0,3399,"Columbia, Florida, US",4795.91552046425,0.0113438045375218,"71,686"
"13","DeSoto",12027,"Florida","US","2020-09-07 04:28:30",27.18677893,-81.80941373,1523,22,0,1501,"DeSoto, Florida, US",4007.78926870346,0.0144451739986868,"38,001"
"14","Dixie",12029,"Florida","US","2020-09-07 04:28:30",29.60631086,-83.15724673,768,4,0,764,"Dixie, Florida, US",4564.36467371924,0.00520833333333333,"16,826"
"15","Duval",12031,"Florida","US","2020-09-07 04:28:30",30.33225875,-81.66976468,27635,271,0,27364,"Duval, Florida, US",2885.39344613184,0.00980640492129546,"957,755"
"16","Escambia",12033,"Florida","US","2020-09-07 04:28:30",30.67652764,-87.37284571,11521,193,0,11328,"Escambia, Florida, US",3619.35937873057,0.0167520180539884,"318,316"
"17","Flagler",12035,"Florida","US","2020-09-07 04:28:30",29.45933576,-81.31508595,1412,15,0,1397,"Flagler, Florida, US",1226.96187902434,0.0106232294617564,"115,081"
"18","Franklin",12037,"Florida","US","2020-09-07 04:28:30",29.83791238,-84.82731662,568,3,0,565,"Franklin, Florida, US",4684.53608247423,0.00528169014084507,"12,125"
"19","Gadsden",12039,"Florida","US","2020-09-07 04:28:30",30.57796289,-84.61915825,2532,33,0,2499,"Gadsden, Florida, US",5545.33508541393,0.0130331753554502,"45,660"
"20","Gilchrist",12041,"Florida","US","2020-09-07 04:28:30",29.72856978,-82.79880657,480,10,0,470,"Gilchrist, Florida, US",2583.14497901195,0.0208333333333333,"18,582"
"21","Glades",12043,"Florida","US","2020-09-07 04:28:30",26.95635849,-81.18996211,460,4,0,456,"Glades, Florida, US",3330.67844471798,0.00869565217391304,"13,811"
"22","Gulf",12045,"Florida","US","2020-09-07 04:28:30",29.93543004,-85.2427099,843,13,0,830,"Gulf, Florida, US",6180.80504435809,0.0154211150652432,"13,639"
"23","Hamilton",12047,"Florida","US","2020-09-07 04:28:30",30.49673973,-82.94998918,723,7,0,716,"Hamilton, Florida, US",5011.08954810091,0.00968188105117566,"14,428"
"24","Hardee",12049,"Florida","US","2020-09-07 04:28:30",27.49293939,-81.80956574,1166,9,0,1157,"Hardee, Florida, US",4328.61862865204,0.00771869639794168,"26,937"
"25","Hendry",12051,"Florida","US","2020-09-07 04:28:30",26.55386945,-81.16469006,1994,39,0,1955,"Hendry, Florida, US",4745.13350149922,0.0195586760280843,"42,022"
"26","Hernando",12053,"Florida","US","2020-09-07 04:28:30",28.55364461,-82.42700204,2788,99,0,2689,"Hernando, Florida, US",1437.70627062706,0.0355093256814921,"193,920"
"27","Highlands",12055,"Florida","US","2020-09-07 04:28:30",27.34254618,-81.34071957,1909,69,0,1840,"Highlands, Florida, US",1797.19641125578,0.036144578313253,"106,221"
"28","Hillsborough",12057,"Florida","US","2020-09-07 04:28:30",27.9276559,-82.32013172,38426,562,0,37864,"Hillsborough, Florida, US",2610.51870692841,0.0146255139749128,"1,471,968"
"29","Holmes",12059,"Florida","US","2020-09-07 04:28:30",30.86747479,-85.81319222,686,5,0,681,"Holmes, Florida, US",3496.96691645002,0.00728862973760933,"19,617"
"30","Indian River",12061,"Florida","US","2020-09-07 04:28:30",27.69308961,-80.60556721,2902,104,0,2798,"Indian River, Florida, US",1814.62328745709,0.0358373535492764,"159,923"
"31","Jackson",12063,"Florida","US","2020-09-07 04:28:30",30.7954597,-85.21500423,2482,68,0,2414,"Jackson, Florida, US",5347.52445382859,0.0273972602739726,"46,414"
"32","Jefferson",12065,"Florida","US","2020-09-07 04:28:30",30.43669112,-83.89442308,518,7,0,511,"Jefferson, Florida, US",3636.10838130001,0.0135135135135135,"14,246"
"33","Lafayette",12067,"Florida","US","2020-09-07 04:28:30",29.98484137,-83.18166636,1212,10,0,1202,"Lafayette, Florida, US",14390.8810258846,0.00825082508250825,"8,422"
"34","Lake",12069,"Florida","US","2020-09-07 04:28:30",28.76202069,-81.7125123,6787,129,0,6658,"Lake, Florida, US",1848.7243883438,0.0190069250036835,"367,118"
"35","Lee",12071,"Florida","US","2020-09-07 04:28:30",26.58410348,-81.88399313,19134,438,0,18696,"Lee, Florida, US",2483.07437154236,0.0228911884603324,"770,577"
"36","Leon",12073,"Florida","US","2020-09-07 04:28:30",30.45955727,-84.27491114,7705,40,0,7665,"Leon, Florida, US",2624.47970243407,0.00519143413367943,"293,582"
